"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
0.9426785,1.121862,1.2723429,1.1729352,1,0.8735948,0.8468134,1.231961,1.0307776,1.1584159,0.81731886,0.8763272,0.67608935
0.96546346,1.0124234,0.99293983,1.0159999,0.99468064,0.989384,1.2179501,1.0605026,0.9787094,0.9911172,1.0248976,1.0044101,1
1,0.77017385,0.8863611,0.7285809,1,1.4843048,1.0001585,0.4745992,0.8113235,1,1.7228495,2.4328191,2.3206701
1,0.89875376,1.3419411,1.0024378,1.1110985,1,1.175666,0.9310259,1.2273684,0.99809736,0.9468145,0.998306,0.9987309
0.5853554,1.0067748,0.9853214,1.030174,0.98491836,1.6455193,1,1.0115066,0.98291713,0.9841035,1.0444846,1.0107257,0.98844594
0.8644071,1.3282013,1,1.0697037,0.97911364,0.8926912,1.1031294,1.1412628,0.994206,0.99491334,1.1575563,1.1739427,0.87297434
0.9970195,0.9377966,1.3176976,0.9467373,0.99999994,1.1216736,1.003397,0.8389809,1.1024709,0.9781723,1.0044736,1.0353942,0.94557655
0.9683282,1.017574,0.9581948,1.0060372,1.0836705,1.0728227,1.0145687,1.1581273,0.9733276,0.98365474,0.9915071,1,0.9915071
0.9870057,1,0.996353,1.0134076,0.9994317,1,1.0105191,1.0214273,0.99617434,0.9975257,1.0141559,1.004413,1.3545812
0.9335282,1,1.050734,0.9559597,1.0016333,0.9501494,1.3474199,1.004089,0.98243546,0.9471861,1.0636756,1.0736223,0.7934569
1.0712974,1.0712523,0.99999994,0.9266909,0.99999994,0.99999994,0.99999994,1.1681005,0.99999994,0.99999994,0.99999994,0.9999122,0.829693
0.77893794,1.164962,1,1.0644224,0.97104216,1,1.066319,1.2509599,0.92294025,0.96918285,1.1674854,1.061635,0.9755302
0.61402255,0.8861599,2.121746,1.8779991,1.3769573,0.6464171,0.6084842,1,1.9627879,1.3528663,1.0889943,0.7966882,0.79726267
0.9640348,1.073122,0.99412024,1.0452127,0.9918655,1,1.0255126,1.0893443,0.98599654,0.9884624,1.0312726,1.0337261,0.9976857
0.9029469,0.95944154,0.9898212,1.025184,0.9016768,1,1.003254,1.0130202,1.0423996,1.128536,0.9993327,1.0049173,0.9935238
4.0339274,1,0.06222199,0.023098972,0.49211013,3.0266643,3.9022343,1.0712252,0.08938604,0.047215194,0.9500227,2.4414492,2.6564035
0.9759555,1.035222,0.9855444,1.0177027,0.98401505,1,1.0431961,1.0608575,0.9791605,0.98423564,1.0272422,1.0064447,1
0.34176707,0.6782814,1.8559601,1.5220612,0.99999994,0.60209215,0.42999557,0.99999994,1.9913442,1.3329344,0.96971446,0.8049991,1.1835618
0.918664,1.1311886,0.9461345,1.189107,0.9765911,1,1.1408736,1.5365812,0.9653599,0.9669518,1.0176722,1.0032234,0.97015166
0.6391058,1.1306285,1.5358174,1.1618462,1,0.6141334,0.8554831,1.3434613,1.16212,1.0913793,0.80960214,0.5274144,0.8184315
0.8868947,1.1355758,0.9249063,1.0568497,1,0.97466093,1.0469241,1.1861668,0.94570273,0.9954494,1.1835828,1.2206419,0.9990421
1.0546701,0.976047,1.0089102,1.0854034,0.9892405,1,0.97677547,0.8407739,1.0887356,1,0.9944844,0.9604818,1
0.9167932,1,1.0322901,1.0109184,1,0.998807,0.9936046,1.0653154,1.01454,0.97668374,1.000556,1.000159,0.93608826
0.87395316,1.2374129,0.9535168,1.1682614,1,0.98967767,1.1816229,1.3188417,0.940105,0.9555234,1.2114748,1.0216794,0.966907
0.7822521,1.0976281,0.9163765,1.0238096,0.9290422,1,1.0178554,1.1960317,0.88088423,0.9290422,1.1016004,1.0059543,0.89771634
0.9141835,1.2181191,0.9825265,1.0909696,0.9969401,0.99999994,0.99999994,1.0630764,0.96064353,0.99999994,1.0072136,1.0423677,0.9875497
1,1.0516931,1,0.99730533,0.7541521,1,1.0563613,1.0734917,0.9943174,0.9021121,0.9891706,1.0007238,1.0050727
0.87600493,0.95002246,1.6827041,1.0695343,1,0.98686236,0.9325955,1.0500023,1.1304952,0.9739152,1.0325246,1.5262246,0.98471206
